dataset,gsm,donor_id,compartment,disease_state,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapped_gene_symbols,duplicate_feature_rows
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,24,21,0.875000,True,ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;SPARC;TIMP1;TIMP2;TNC,0
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,21,20,0.952381,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,15,14,0.933333,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;MATN3;SOX9,0
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,21,20,0.952381,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,15,14,0.933333,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;MATN3;SOX9,0
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,21,20,0.952381,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE165722,GSM5048714,Sample7,NP,severe,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE165722,GSM5048714,Sample7,NP,severe,inflammatory_nfkb,21,20,0.952381,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE165722,GSM5048714,Sample7,NP,severe,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE165722,GSM5048714,Sample7,NP,severe,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE165722,GSM5048715,Sample8,NP,severe,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE165722,GSM5048715,Sample8,NP,severe,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE165722,GSM5048715,Sample8,NP,severe,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE165722,GSM5048715,Sample8,NP,severe,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
